Metrik,LAPANGAN USAHA,Tahun,Triwulan,Nilai,Quarter_Order,Time_Label
ADH K (Miliar Rupiah),Sektor Tersier,2022,I,13194.222827005706,1,2022QI
ADH K (Miliar Rupiah),Sektor Tersier,2022,II,13716.308962025352,2,2022QII
ADH K (Miliar Rupiah),Sektor Tersier,2022,III,14076.93042227932,3,2022QIII
ADH K (Miliar Rupiah),Sektor Tersier,2022,IV,14365.252200520215,4,2022QIV
ADH K (Miliar Rupiah),Sektor Tersier,2023,I,14452.845973255518,1,2023QI
ADH K (Miliar Rupiah),Sektor Tersier,2023,II,15053.448111406073,2,2023QII
ADH K (Miliar Rupiah),Sektor Tersier,2023,III,15136.365701475135,3,2023QIII
ADH K (Miliar Rupiah),Sektor Tersier,2023,IV,15446.533415393174,4,2023QIV
ADH K (Miliar Rupiah),Sektor Tersier,2024,I,15457.151648997638,1,2024QI
ADH K (Miliar Rupiah),Sektor Tersier,2024,II,15867.823295187907,2,2024QII
ADH K (Miliar Rupiah),Sektor Tersier,2024,III,15944.596859139128,3,2024QIII
ADH K (Miliar Rupiah),Sektor Tersier,2024,IV,16437.75805492343,4,2024QIV
ADH K (Miliar Rupiah),Sektor Tersier,2025,I,16387.48270187515,1,2025QI
ADH K (Miliar Rupiah),Sektor Tersier,2025,II,16724.370768475972,2,2025QII
ADH K (Miliar Rupiah),Sektor Tersier,2025,III,16557.30810428318,3,2025QIII
C-to-C (%),Sektor Primer,2022,I,-3.499406383146137,1,2022QI
C-to-C (%),Sektor Primer,2022,II,3.559339628516952,2,2022QII
C-to-C (%),Sektor Primer,2022,III,-0.919047402213252,3,2022QIII
C-to-C (%),Sektor Primer,2022,IV,0.4091071352030724,4,2022QIV
C-to-C (%),Sektor Primer,2023,I,1.0804768813800223,1,2023QI
C-to-C (%),Sektor Primer,2023,II,1.8059320251485216,2,2023QII
C-to-C (%),Sektor Primer,2023,III,3.5389333248493102,3,2023QIII
C-to-C (%),Sektor Primer,2023,IV,1.2610522924246794,4,2023QIV
